project_A_id,project_B_id,overlap_score,overlap_class
132,149,0.013157894736842105,high
132,129,0.05090909090909091,high
132,137,0.09868421052631579,high
132,170,0.003115264797507788,low
132,133,0.01486988847583643,high
132,4,0.0034129692832764505,low
132,5,0.02155887230514096,high
132,135,0.1746031746031746,high
132,162,0.005780346820809248,low
132,172,0.002898550724637681,low
132,156,0.02830188679245283,high
132,139,0.002793296089385475,low
132,17,0.012254901960784314,high
132,141,0.026470588235294117,high
132,143,0.013157894736842105,high
132,7,0.02401129943502825,high
132,116,0.003389830508474576,low
132,125,0.011494252873563218,high
132,155,0.003125,low
132,203,0.01834862385321101,high
132,136,0.2842465753424658,high
132,108,0.006600660066006601,low
132,182,0.0034482758620689655,low
132,126,0.0226628895184136,high
132,167,0.0032679738562091504,low
132,19,0.013605442176870748,high
132,44,0.015915119363395226,high
132,9,0.004651162790697674,low
132,154,0.0033222591362126247,low
132,71,0.006024096385542169,low
132,113,0.003367003367003367,low
132,11,0.006060606060606061,low
132,119,0.006172839506172839,low
132,111,0.003236245954692557,low
132,69,0.002583979328165375,low
132,130,0.022813688212927757,high
132,157,0.0025974025974025974,low
132,67,0.003278688524590164,low
132,114,0.0033444816053511705,low
132,38,0.004796163069544364,low
132,30,0.003115264797507788,low
132,72,0.005390835579514825,low
132,52,0.008547008547008548,low
132,153,0.008152173913043478,low
132,64,0.006535947712418301,low
132,91,0.005449591280653951,low
132,180,0.0036101083032490976,low
132,169,0.009316770186335404,low
132,29,0.0058997050147492625,low
132,151,0.005649717514124294,low
132,124,0.0035714285714285713,low
132,102,0.002688172043010753,low
132,58,0.0125,high
132,121,0.0035971223021582736,low
132,39,0.002551020408163265,low
132,163,0.007159904534606206,low
132,134,0.04377104377104377,high
132,166,0.0034129692832764505,low
132,128,0.10223642172523961,high
132,94,0.0032679738562091504,low
132,68,0.0030120481927710845,low
132,131,0.024475524475524476,high
78,77,0.03067484662576687,high
78,7,0.002044989775051125,low
78,79,0.014492753623188406,high
78,80,0.03225806451612903,high
78,74,0.0196078431372549,high
78,71,0.019157088122605363,high
78,72,0.0072992700729927005,low
78,76,0.038461538461538464,high
122,125,0.05319148936170213,high
122,203,0.03896103896103896,high
122,119,0.013888888888888888,high
122,121,0.04,high
149,45,0.01282051282051282,high
149,5,0.002457002457002457,low
149,162,0.007194244604316547,low
149,156,0.03167420814479638,high
149,139,0.006666666666666667,low
149,17,0.004901960784313725,low
149,143,0.010101010101010102,low
149,7,0.001937984496124031,low
149,155,0.046296296296296294,high
149,136,0.0018484288354898336,low
149,56,0.008849557522123894,low
149,49,0.01,low
149,154,0.11904761904761904,high
149,71,0.003424657534246575,low
149,144,0.012195121951219513,high
149,157,0.15584415584415584,high
149,150,0.09278350515463918,high
149,153,0.05844155844155844,high
149,148,0.08823529411764706,high
149,180,0.014492753623188406,high
149,151,0.04225352112676056,high
149,102,0.006097560975609756,low
149,163,0.009433962264150943,low
149,152,0.03225806451612903,high
129,137,0.028846153846153848,high
129,135,0.08333333333333333,high
129,123,0.08823529411764706,high
129,156,0.00966183574879227,low
129,125,0.008064516129032258,low
