project_id,project_name,description,category,cost,votes,agg_quartiers,src_district_code,approved,approved_binary
43,Piste cyclable à double sens route d'Espagne,"Une petite portion de la route d'Espagne (devant le château de Gounon) est empruntée dans les deux sens par les cyclistes qui doivent passer sur le trottoir avant de rejoindre la contre-allée. Il est possible d'installer une piste cyclable au niveau de la pelouse, derrière l'arrêt de bus Barrière de Muret, pour éviter que les autres usagers soient gênés.",Éco-mobilité,60000,52,Croix de Pierre / Route d'Espagne,2.2,True,1
137, Installation d’un parcours de santé au quartier Montaudran vers la Halle de la Machine,"Envie de garder la forme ou se remettre au sport ? il nous manque que ça dans notre quartier 😊 Pour garder la forme, il n’est pas forcément nécessaire de dépenser de l’argent ! je propose à la maire d’installer un parcours de sante dans ce quartier qui commence à se développer et à bouger :D Pratiquer une activité physique et sportive gratuitement, librement, simplement et selon votre niveau ; le parcours de santé est un accès libre-service dont on pourra aller dès qu’on a petit créneau dans notre vie quotidienne et notre routine cela permettra de se dépenser en plein air sans alléger son porte-monnaie.",Cadre de vie,150000,76,Pont des Demoiselles / Ormeau / Montaudran / La Terrasse / Malepère,5.1,False,0
97,Création d'un terrain de cécifoot (foot pour non-voyants à Borderouge),Il serait bien de créer un terrain de cécifoot dans cette belle ville rose qui n'en compte pas pour le moment. Cela permettrait aux personnes aveugles aimant le foot de pouvoir pratiquer leur sport favoris dans des conditions de sécurités optimales et en toute autonomie. L'initiative serait très intéressante parce que ça serait l'un des seuls terrains de cécifoot en France.,Cadre de vie,150000,16,Trois Cocus / Borderouge / Croix-Daurade / Paléficat / Grand Selve,3.3,False,0
107,Piste cyclabe chemin Lapujade partie manquante,Il serait plus sécurisant (notamment avec les travaux sur le faubourg Bonnefoy et la deviation des véhicules) de créer une piste cyclabe sur la partie manquante du chemin Lapujade. C'est à dire de la rue Paul Pujos jusqu'au rond point d'Afrique. Le chemin Lapujade (de l'Intermarché jusqu'au chemin de Lanusse) mérite d'etre refaire suite aux différents travaux qu'il y a eu.,Éco-mobilité,40000,30,Lapujade / Bonnefoy / Périole / Marengo / La Colonne,4.1,True,1
99,L'ornemental fruitier,"Cette idée a été transmise via un formulaire papier par molac26. Au lieu de planter des arbres ornementaux, plantons des arbres fruitiers à récolter par les écoliers pour les cantines scolaires et des associations volontaires. Avantages : fruit bio pour les cantines / découverte des fruits par les enfants / Baisse du coût des cantines / Alimentation locale Inconvénients : planter des arbres fruitiers",Nature en ville,1500,29,Trois Cocus / Borderouge / Croix-Daurade / Paléficat / Grand Selve,3.3,True,1
170,Sécuriser le passage du pont de la Cépière pour les cyclistes,"Dans le prolongement de l’aménagement de voies bus+vélo route de Saint Simon des Arènes à la Cépière, créer une voie vélo sécurisée pour traverser le pont et rejoindre le rond point de la Cépière puis le lycée Polyvalent Rive Gauche.",Éco-mobilité,200000,64,Lardenne / Pradettes / Basso-Cambo,6.2,False,0
106,Piste cyclable et sens unique rue de Périole ,"Création d'une piste cyclable sur la rue de Périole pour sécuriser les déplacements vers les écoles Marengo et Bonnefoy notamment. La rue est particulièrement fréquentée et dangereuse à cause de la vitesse excessive des automobilistes. La rue ne permettant pas d'aménager une piste cyclable en l'état, pourquoi ne pas créer un sens unique sur la partie rond-point de Périole/rue des Cheminots jusqu'à l'avenue de Lavaur ? Cela permettrait également d'élargir les trottoirs qui sont trop étroits sur cette section.",Éco-mobilité,50000,67,Lapujade / Bonnefoy / Périole / Marengo / La Colonne,4.1,True,1
101,Végétaliser les abords des écoles Marengo-Périole,"Il serait intéressant d'étudier la possibilité de végétaliser les abords des écoles Marengo-Périole (élémentaire et maternelle). Notamment le chemin d'accès qui part de la rue Périole et dessert les 2 écoles, la cantine et même le collège. L'aménagement de murs végétalisés pourrait être étudié, de même que l'aménagement du talus entre l'école et la cantine. Plusieurs options pourraient être envisagées, en concertation entre les écoles, les parents d'élève et les habitants du quartier. Certains projets pourraient impliquer la participation des enfants.",Nature en ville,160000,20,Lapujade / Bonnefoy / Périole / Marengo / La Colonne,4.1,True,1
159,Aménagement d'une halle place Bertier,"Installer une halle sur la place Bertier, quartier de Saint-Martin-du-Touch, au niveau de la sculpture « Demain ». Structure bois ouverte avec couverture en tuiles. Cette halle, que l’on retrouve fréquemment dans les centres ville, aura comme objectif de permettre un lieu de rencontre et d’échanges, mais aussi de permettre à des producteurs locaux de venir vendre leur production ou d’organiser un marché de seconde main ou à des animations de pouvoir s’y tenir. Cela répond au point 3 de l’axe 4 du PCAET.",Consommation responsable,170000,25,Arènes Romaines / Ancely / Saint-Martin du Touch / Purpan,6.1,False,0
133,Fresque murale retraçant l'histoire de Montaudran ,"Fresque Murale retraçant l'histoire de Montaudran (l'aéropostale, le spatiale, les usines Latécoère...) sous le nouveau pont de la gare de Montaudran.",Cadre de vie,60000,15,Pont des Demoiselles / Ormeau / Montaudran / La Terrasse / Malepère,5.1,False,0
